direccion|precio_uf|metros_cuadrados|dormitorios|banios|latitude|longitude|url
|2306|0|2|1|||https://www.portalinmobiliario.com/MLC-1477345719-departamento-en-santiago-hasta-100-financiamiento-_JM#position=26&search_layout=grid&type=item&tracking_id=cb989e76-6b87-4c2f-a702-bd2fce358c1a
Zenteno / Pedro Lagos / San Diego, Parque O'Higgins, Santiago, RM (Metropolitana)|1690|38|2|1|-33.4657026|-70.6498025|https://www.portalinmobiliario.com/MLC-1440730981-depto-2-dorm-1-bano-calle-zenteno-comuna-de-santiago-_JM#position=34&search_layout=grid&type=item&tracking_id=92e60104-7d52-460c-8ad7-967871aeb542
Metro Moneda, Bulnes, Santiago, RM (Metropolitana)|2025|28|1|1|-33.4464797|-70.6538033|https://www.portalinmobiliario.com/MLC-1478418845-departamento-en-venta-de-1-dorm-en-santiago-_JM#position=23&search_layout=grid&type=item&tracking_id=a68ff074-f63f-473d-989f-fc0b4c4b2072
Av. España 683, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)|4603|84|3|2|-33.456851|-70.6687759|https://www.portalinmobiliario.com/MLC-1441884577-dpto-3-dorm-2-banos-1-est-1-bod-barrio-republica-_JM#position=7&search_layout=grid&type=item&tracking_id=8953249a-388f-48f0-8e85-4e0ca3a83c18
Parque De Los Reyes, Parque Los Reyes, Santiago, RM (Metropolitana)|2570|42|1|1|-33.4303546|-70.6664309|https://www.portalinmobiliario.com/MLC-1443714719-venta-departamento-parque-de-los-reyes-santiago-_JM#position=1&search_layout=grid&type=item&tracking_id=184bf467-db98-4bf4-85e2-918796730ae5
Arturo Prat//victoria//metro Avenida Matta, Parque O'Higgins, Santiago, RM (Metropolitana)|1752|40|2|1|-33.4646708|-70.6468439|https://www.portalinmobiliario.com/MLC-1478137331-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=20&search_layout=grid&type=item&tracking_id=897e07f3-c4af-4cb8-ad87-1246ad58dcf0
Santa Elvira 97, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|2420|21|1|1|-33.4579265|-70.6303954|https://www.portalinmobiliario.com/MLC-2340168020-santa-elvira-_JM#position=21&search_layout=grid&type=item&tracking_id=4824a552-af29-4cd8-87fb-e5735ddcaf98
Morandé, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1900|35|1|1|-33.4367143|-70.6542235|https://www.portalinmobiliario.com/MLC-2117673922-departamento-morande-id-26098-_JM#position=28&search_layout=grid&type=item&tracking_id=b1d873fb-aff6-4adb-ab65-ba5a75f26ed0
Padre Miguel De Olivares 1444, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)|2100|33|1|1|-33.4491768|-70.6556306|https://www.portalinmobiliario.com/MLC-1469195665-inversionistas-dpto-de-1-dormitorio-con-arrendatario-_JM#position=16&search_layout=grid&type=item&tracking_id=f24f6532-afea-4963-9918-2c229fe3edb6
Luminoso Departamento En Venta, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3150|66|2|2|-33.4363034|-70.6536088|https://www.portalinmobiliario.com/MLC-1475688469-luminoso-departamento-en-venta-26522-_JM#position=20&search_layout=grid&type=item&tracking_id=34983efa-9680-42f4-9f81-377a79c05b49
