direccion|precio_uf|metros_cuadrados|dormitorios|banios|latitude|longitude|url
|2000|40|1|1|||https://www.portalinmobiliario.com/MLC-2218257648-oportunidad-departamento-de-1-dormitorio-lira-esquina-marin-_JM#position=12&search_layout=grid&type=item&tracking_id=bf05e5af-deb4-41cf-b5df-07ca4ec4e24d
Compañia, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|4000|74|3|2|-33.4388539|-70.658959|https://www.portalinmobiliario.com/MLC-2352587184-compania-25355-_JM#position=26&search_layout=grid&type=item&tracking_id=e468ac46-7985-4564-a354-7d033d847bf0
Metro Matta, Barrio Diez de Julio, Santiago, RM (Metropolitana)|3350|44|2|1|-33.4524197|-70.6392838|https://www.portalinmobiliario.com/MLC-1478324569-departamento-en-venta-de-2-dormitorios-en-santiago-_JM#position=2&search_layout=grid&type=item&tracking_id=e2bb7d32-69af-42e0-a7cd-04177582fe79
Pedro Lagos, Parque O'Higgins, Santiago, RM (Metropolitana)|1890|47|3|1|-33.465958|-70.6490745|https://www.portalinmobiliario.com/MLC-1459341743-departamento-en-venta-en-santiago-_JM#position=44&search_layout=grid&type=item&tracking_id=633394a1-3e6d-4422-9190-7d8676bf0a16
San Martin / Agustinas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2450|55|2|2|-33.440844|-70.657786|https://www.portalinmobiliario.com/MLC-1461745265-centrico-y-comodo-departamento-_JM#position=40&search_layout=grid&type=item&tracking_id=06e9d37c-e4c7-42cc-8f32-41c52f1a460f
Tarapacá, Bulnes, Santiago, RM (Metropolitana)|2500|30|2|1|-33.4477138|-70.6539794|https://www.portalinmobiliario.com/MLC-1442029647-departamento-tarapaca-id-89353-_JM#position=35&search_layout=grid&type=item&tracking_id=6e951999-8e82-47f7-8d86-0cebf6b5a687
Cienfuegos 78, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)|2250|41|1|1|-33.4436432|-70.6633869|https://www.portalinmobiliario.com/MLC-2235501880-cienfuegos-519-edificio-acogedor-sin-comision-_JM#position=43&search_layout=grid&type=item&tracking_id=eb609bb0-7d42-4cfe-86bb-e04898ff9373
Moneda 1541, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2530|35|1|1|-33.4425507|-70.6582794|https://www.portalinmobiliario.com/MLC-2350179248-monedasan-martin-a-pasos-del-metro-_JM#position=1&search_layout=grid&type=item&tracking_id=6a0541ab-6da3-49a5-9586-47dd564c67b2
San Francisco 335, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)|3000|47|2|2|-33.4491748|-70.6470786|https://www.portalinmobiliario.com/MLC-1473460299-dpto-mariposa-2d2b-con-estacionamiento-y-bodega-u-de-chile-_JM#position=23&search_layout=grid&type=item&tracking_id=977fb512-8e1f-4907-83b6-57e2bf3439c5
Lira, 297, Santa Isabel, Santiago, RM (Metropolitana)|2000|32|1|1|-33.447129|-70.6399|https://www.portalinmobiliario.com/MLC-2253650996-venta-departamento-santiago-centro-_JM#position=40&search_layout=grid&type=item&tracking_id=84c27398-c5c1-449f-b543-ec3b2ad13dae
Tarapaca 752, Bulnes, Santiago, RM (Metropolitana)|2100|35|1|1|-33.446621|-70.6460771|https://www.portalinmobiliario.com/MLC-2263694400-refv12576-venta-1dormitorio-1bano-_JM#position=7&search_layout=grid&type=item&tracking_id=75947e15-7cf0-4f78-a9b2-e1e14f47c5ba
Zenteno 1482, Parque O'Higgins, Santiago, RM (Metropolitana)|1451|0|1|1|-33.4656243|-70.6498174|https://www.portalinmobiliario.com/MLC-1469553899-depto-en-venta-de-1-dorm-en-zenteno-santiago-_JM#position=23&search_layout=grid&type=item&tracking_id=c387fd51-ec6e-4a4e-9857-2b3350d793a3
Manuel Antonio Tocornal 455, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|3150|44|2|1|-33.4488927|-70.6407097|https://www.portalinmobiliario.com/MLC-1478362639-oportunidad-2-dormitorios-condominio-_JM#position=19&search_layout=grid&type=item&tracking_id=11d863d4-fae8-48a8-b5b9-dd18472c5224
Chiloé 1221, Parque O'Higgins, Santiago, RM (Metropolitana)|2398|51|2|1|-33.4613628|-70.646143|https://www.portalinmobiliario.com/MLC-1474176589-departamento-en-venta-en-santiago-_JM#position=47&search_layout=grid&type=item&tracking_id=b2ec1abd-3dbc-4307-84f4-db2442c167f8
Arturo Prat / Iglesia Sacramentinos, San Diego, Santiago, RM (Metropolitana)|1980|37|2|1|-33.452422|-70.6484779|https://www.portalinmobiliario.com/MLC-2164842842-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=48&search_layout=grid&type=item&tracking_id=19c2411a-352c-4da1-8518-8ed69b0a4822
