direccion|precio_uf|metros_cuadrados|dormitorios|banios|latitude|longitude|url
|2700|0|0|0|||https://www.portalinmobiliario.com/MLC-2371341728-venta-departamento-2hab-2ba-santiago-_JM#position=30&search_layout=grid&type=item&tracking_id=101a90e7-e1a4-4b22-a237-fd30b843ae5b
Huérfanos 300 - 600, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|5900|195|3|1|-33.4391632|-70.6445315|https://www.portalinmobiliario.com/MLC-1458871397-duplex-grandes-terrazas-en-bellas-artes-_JM#position=32&search_layout=grid&type=item&tracking_id=bd9e874a-566e-485f-93cd-a1c587410e63
Bulnes, Santiago, RM (Metropolitana)|2096|40|2|1|-33.448226|-70.646893|https://www.portalinmobiliario.com/MLC-2347987358-depto-san-francisco-eleuterio-ramirez-_JM#position=47&search_layout=grid&type=item&tracking_id=3029b441-1c74-48ca-88eb-caf6ddcbd5a9
San Pablo 2002, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)|1961|55|2|2|-33.4348924|-70.6649957|https://www.portalinmobiliario.com/MLC-2238925512-oportunidad-depto-para-inversion-en-san-pablo-con-brasil-_JM#position=12&search_layout=grid&type=item&tracking_id=1bdbfddc-f1a0-4b7b-ae67-70a318523365
Eyzaguirre 800, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)|1355|35|1|1|-33.4520942|-70.6465239|https://www.portalinmobiliario.com/MLC-2149851914-gran-oferta-se-vende-home-office-totalmente-amoblado-en-san-_JM#position=10&search_layout=grid&type=item&tracking_id=d2548354-e2f9-417c-b525-a595a550e10c
San Isidro 345, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|2096|45|1|1|-33.4484391|-70.643731|https://www.portalinmobiliario.com/MLC-2269017690-depto-1-dorm-1-bano-bodega-en-san-isidro-santiago-centro-_JM#position=42&search_layout=grid&type=item&tracking_id=d50bcaf6-3b54-4598-affe-0fc55aa81089
Compañía De Jesús 1525, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1343|27|1|1|-33.4391647|-70.6585232|https://www.portalinmobiliario.com/MLC-2254252548-centrico-departamento-1-dormitorio-1-bano-balcon-stgo-centro-_JM#position=9&search_layout=grid&type=item&tracking_id=139930be-c85f-41a0-af1f-a7c904327274
Recien Remodelado. Oportunidad Con Vista Despejada, Santa Isabel, Santiago, RM (Metropolitana)|2990|56|2|2|-33.4489123|-70.6436613|https://www.portalinmobiliario.com/MLC-2255661856-recien-remodelado-oportunidad-con-vista-despejada-_JM#position=33&search_layout=grid&type=item&tracking_id=00fd1c14-15ca-45b1-8deb-44cba1879f11
San Diego, Parque O'Higgins, Santiago, RM (Metropolitana)|2150|37|2|1|-33.4629535|-70.6487813|https://www.portalinmobiliario.com/MLC-2370703898-departamento-san-diego-id-125104-_JM#position=39&search_layout=grid&type=item&tracking_id=92e60104-7d52-460c-8ad7-967871aeb542
Lord Cochrane/ Tarapacá, Bulnes, Santiago, RM (Metropolitana)|1827|27|1|1|-33.4485615|-70.6544415|https://www.portalinmobiliario.com/MLC-1463414457-venta-departamento-1-dorm-en-santiago-_JM#position=14&search_layout=grid&type=item&tracking_id=3029b441-1c74-48ca-88eb-caf6ddcbd5a9
Bandera 898, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2518|47|2|2|-33.4334876|-70.6532646|https://www.portalinmobiliario.com/MLC-1456310261-opotunidad-departamento-en-bandera-con-general-makenna-_JM#position=28&search_layout=grid&type=item&tracking_id=66bc2cea-04f4-46ec-af43-44861db2ec3d
Club Hípico 600 - 900, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)|2750|53|2|2|-33.4557771|-70.6653389|https://www.portalinmobiliario.com/MLC-2380365064-recien-renovado-2d-y-2b-_JM#position=32&search_layout=grid&type=item&tracking_id=dfa401a5-9e9e-4e75-8e65-fc63d4cbde22
Lira, Santa Isabel, Santiago, RM (Metropolitana)|2571|68|3|2|-33.4481135|-70.6399682|https://www.portalinmobiliario.com/MLC-2323578108-lira-_JM#position=14&search_layout=grid&type=item&tracking_id=92f3fbc4-b221-4e2a-9eeb-264c988d4092
Depto En Venta Blanco Encalada // Parque O'higgins, Ejército - Toesca, Santiago, RM (Metropolitana)|2015|37|1|1|-33.4565742|-70.6596382|https://www.portalinmobiliario.com/MLC-2381884088-departamento-en-venta-de-1-dorm-en-santiago-_JM#position=21&search_layout=grid&type=item&tracking_id=0aca173a-8391-45d9-af8f-2b97882ec3d4
San Isidro, Santa Isabel, Santiago, RM (Metropolitana)|2800|46|2|1|-33.4494226|-70.643407|https://www.portalinmobiliario.com/MLC-1474476843-departamento-en-venta-2-dorm-1-bano-en-santiago-oportunidad-_JM#position=13&search_layout=grid&type=item&tracking_id=a41fa647-0bae-4ea6-9ec5-79625c9e43ea
Vicuña Mackenna, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|2900|45|2|1|-33.4611462|-70.6286369|https://www.portalinmobiliario.com/MLC-2117660900-departamento-vicuna-mackenna-id-90872-_JM#position=1&search_layout=grid&type=item&tracking_id=3d7f6e32-fa6b-4bfe-bb60-e2ccc3d34c09
Vendo Departamento Inversionistas Santiago, Bulnes, Santiago, RM (Metropolitana)|1800|32|1|1|-33.446811|-70.6513763|https://www.portalinmobiliario.com/MLC-2378894744-vendo-departamento-inversionistas-santiago-13486-_JM#position=27&search_layout=grid&type=item&tracking_id=5ab6efbd-9e95-404b-aebf-e4f9c54ab53d
Lord Cochrane 298, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)|4200|67|3|2|-33.4499553|-70.6544733|https://www.portalinmobiliario.com/MLC-1463440043-ap-lord-cochrane-eleuterio-3-dormitorios-con-estac-y-bod-_JM#position=11&search_layout=grid&type=item&tracking_id=19fb1f01-4932-43df-907d-da92b14c9166
Serrano/santa Isabel, San Diego, Santiago, RM (Metropolitana)|1600|40|1|1|-33.4525264|-70.6478641|https://www.portalinmobiliario.com/MLC-2134991434-departamento-en-venta-de-1-dorm-en-santiago-_JM#position=9&search_layout=grid&type=item&tracking_id=72e2b5c7-ee9b-47b9-b4be-5de6ade046d0
Sta. Victoria, Santa Isabel, Santiago, RM (Metropolitana)|2990|54|2|2|-33.4479616|-70.6396409|https://www.portalinmobiliario.com/MLC-1458282141-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=6&search_layout=grid&type=item&tracking_id=6e3b6d58-9d4d-4192-9f0c-0de757ab7d35
Ideal Inversion Barrio Universitario, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|1998|35|1|1|-33.4615868|-70.6385083|https://www.portalinmobiliario.com/MLC-1476575127-ideal-inversion-barrio-universitario-26919-_JM#position=45&search_layout=grid&type=item&tracking_id=5e8974c9-6d60-4df7-9e02-789d7654b321
Venta Depto 1 Hab Calle Serrano Metro Parque Almagro, San Diego, Santiago, RM (Metropolitana)|2150|34|1|1|-33.4524724|-70.6479555|https://www.portalinmobiliario.com/MLC-1457743857-venta-depto-1-hab-calle-serrano-metro-parque-almagro-_JM#position=43&search_layout=grid&type=item&tracking_id=72e2b5c7-ee9b-47b9-b4be-5de6ade046d0
Avenida Portugal 415 - Departamento 1706, Santa Isabel, Santiago, RM (Metropolitana)|2710|81|3|2|-33.4474106|-70.635849|https://www.portalinmobiliario.com/MLC-2286697082-excelente-departamento-piso-17-vista-full-despejada-_JM#position=30&search_layout=grid&type=item&tracking_id=5e123917-8ae4-4fbc-af57-c075ac0a25c3
San Pablo 1275, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2700|54|2|2|-33.4342068|-70.6555109|https://www.portalinmobiliario.com/MLC-2388662920-liquidamos-oportunidad-con-bodega-y-estacionamiento-_JM#position=27&search_layout=grid&type=item&tracking_id=958c33f1-abd7-48a3-9d06-660520505b9d
