direccion|precio_uf|metros_cuadrados|dormitorios|banios|estaciones_de_metro_tmin|estaciones_de_metro_tmax|estaciones_de_metro_tavg|estaciones_de_metro_dmin|estaciones_de_metro_dmax|estaciones_de_metro_davg|paraderos_tmin|paraderos_tmax|paraderos_tavg|paraderos_dmin|paraderos_dmax|paraderos_davg|jardines_infantiles_tmin|jardines_infantiles_tmax|jardines_infantiles_tavg|jardines_infantiles_dmin|jardines_infantiles_dmax|jardines_infantiles_davg|colegios_tmin|colegios_tmax|colegios_tavg|colegios_dmin|colegios_dmax|colegios_davg|universidades_tmin|universidades_tmax|universidades_tavg|universidades_dmin|universidades_dmax|universidades_davg|plazas_tmin|plazas_tmax|plazas_tavg|plazas_dmin|plazas_dmax|plazas_davg|supermercados_tmin|supermercados_tmax|supermercados_tavg|supermercados_dmin|supermercados_dmax|supermercados_davg|farmacias_tmin|farmacias_tmax|farmacias_tavg|farmacias_dmin|farmacias_dmax|farmacias_davg|centros_comerciales_tmin|centros_comerciales_tmax|centros_comerciales_tavg|centros_comerciales_dmin|centros_comerciales_dmax|centros_comerciales_davg|clinicas_tmin|clinicas_tmax|clinicas_tavg|clinicas_dmin|clinicas_dmax|clinicas_davg|hospitales_tmin|hospitales_tmax|hospitales_tavg|hospitales_dmin|hospitales_dmax|hospitales_davg
Avenida España 106, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)|3000|70|3|2|6.0|7.0|6.5|495.0|527.0|511.0|3.0|4.0|3.5|254.0|279.0|266.5|10.0|12.0|11.0|796.0|947.0|870.2|3.0|6.0|4.2|202.0|457.0|328.4|4.0|5.0|4.6|298.0|416.0|354.6|6.0|8.0|7.2|454.0|604.0|543.2|8.0|12.0|9.7|610.0|935.0|752.3|7.0|9.0|7.8|509.0|692.0|588.6|4.0|11.0|8.8|306.0|824.0|683.2|6.0|12.0|9.0|432.0|963.0|697.5||||||
Parque Almagro, Iglesia Los Sacarmentinos, San Diego, San Diego, Santiago, RM (Metropolitana)|1990|33|1|1|4.0|10.0|7.0|293.0|768.0|530.5|3.0|4.0|3.6|195.0|347.0|286.0|2.0|9.0|6.8|135.0|696.0|537.2|8.0|10.0|9.0|618.0|810.0|704.2|7.0|10.0|8.0|544.0|810.0|637.0|2.0|9.0|6.2|163.0|724.0|494.0|3.0|8.0|5.6|209.0|663.0|428.2|3.0|5.0|4.0|219.0|372.0|315.8|7.0|10.0|8.5|532.0|743.0|637.5|6.0|12.0|9.4|438.0|957.0|726.4|10.0|10.0|10.0|807.0|807.0|807.0
Amunategui Y General Mackenna, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2650|63|2|2|5.0|13.0|9.3|427.0|996.0|739.7|0.0|4.0|2.4|31.0|321.0|207.2|4.0|11.0|7.5|277.0|866.0|571.5|6.0|11.0|8.8|481.0|838.0|694.2|8.0|12.0|10.7|662.0|940.0|842.7|2.0|7.0|5.2|128.0|528.0|395.0|6.0|10.0|8.8|496.0|814.0|697.6|5.0|9.0|7.2|394.0|666.0|560.0|10.0|12.0|11.0|806.0|913.0|871.3|9.0|12.0|10.5|735.0|970.0|852.5||||||
Raulí, Santa Isabel, Santiago, RM (Metropolitana)|2800|47|2|1|10.0|10.0|10.0|745.0|745.0|745.0|2.0|4.0|3.0|175.0|329.0|243.8|7.0|11.0|9.5|530.0|882.0|745.8|5.0|6.0|5.7|394.0|490.0|447.7|4.0|12.0|9.8|288.0|946.0|760.0|5.0|10.0|7.6|355.0|758.0|565.4|2.0|11.0|5.8|160.0|868.0|453.4|2.0|8.0|5.0|188.0|652.0|400.6|||||||4.0|13.0|8.5|310.0|999.0|654.5|11.0|11.0|11.0|891.0|891.0|891.0
San Martín / Compañía De Jesús, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2688|54|2|2|4.0|12.0|8.7|299.0|904.0|652.7|2.0|3.0|2.3|133.0|267.0|189.3|6.0|10.0|6.8|476.0|763.0|545.0|5.0|9.0|7.0|390.0|725.0|549.0|5.0|12.0|9.8|364.0|952.0|763.8|2.0|6.0|4.0|151.0|502.0|322.8|3.0|9.0|6.4|219.0|715.0|506.6|0.0|3.0|2.2|19.0|264.0|188.2|6.0|12.0|10.0|441.0|973.0|776.4|8.0|11.0|9.4|620.0|855.0|728.2||||||
Sazie/jose Miguel Carrera, Ejército - Toesca, Santiago, RM (Metropolitana)|1998|39|1|1|8.0|11.0|10.0|592.0|881.0|782.7|3.0|5.0|4.5|205.0|402.0|336.8|3.0|8.0|6.6|199.0|656.0|500.0|2.0|7.0|4.2|135.0|583.0|339.4|2.0|3.0|2.6|133.0|240.0|189.2|4.0|7.0|5.6|280.0|578.0|441.6|3.0|8.0|5.8|222.0|654.0|452.5|5.0|8.0|6.4|429.0|648.0|503.6|12.0|12.0|12.0|950.0|950.0|950.0|4.0|11.0|7.0|328.0|839.0|539.7||||||
Vergara, Ejército - Toesca, Santiago, RM (Metropolitana)|3321|32|1|1|7.0|11.0|9.0|565.0|877.0|721.0|2.0|4.0|2.5|172.0|330.0|215.2|2.0|5.0|4.0|185.0|428.0|326.4|3.0|11.0|7.2|206.0|871.0|555.4|3.0|5.0|4.4|231.0|425.0|358.4|4.0|8.0|5.4|321.0|622.0|432.0|4.0|11.0|9.0|343.0|850.0|692.0|4.0|12.0|7.4|343.0|943.0|595.4|||||||9.0|10.0|9.5|695.0|758.0|726.5||||||
Parque Almagro, Santiago, RM (Metropolitana)|2300|36|2|1|6.0|9.0|7.5|501.0|736.0|618.5|0.0|4.0|2.8|17.0|348.0|228.4|5.0|13.0|9.6|364.0|991.0|730.2|4.0|10.0|6.2|343.0|793.0|504.4|9.0|11.0|10.0|696.0|857.0|787.2|5.0|8.0|6.2|354.0|660.0|492.0|6.0|12.0|8.8|465.0|964.0|690.2|5.0|11.0|9.2|376.0|874.0|720.0|||||||5.0|12.0|8.5|424.0|919.0|671.5||||||
Barrio República, Santiago, RM (Metropolitana)|4484|67|2|2|4.0|6.0|5.0|277.0|448.0|362.5|3.0|3.0|3.0|201.0|257.0|218.8|8.0|12.0|9.6|591.0|945.0|758.8|2.0|5.0|4.0|186.0|421.0|318.8|5.0|7.0|6.2|408.0|575.0|493.4|5.0|6.0|5.2|376.0|505.0|404.6|9.0|10.0|9.3|703.0|804.0|747.3|4.0|9.0|6.2|289.0|739.0|481.6|7.0|12.0|10.0|548.0|973.0|784.6|9.0|9.0|9.0|674.0|674.0|674.0||||||
San Diego, Parque O'Higgins, Santiago, RM (Metropolitana)|1450|21|1|1|10.0|11.0|10.5|751.0|861.0|806.0|2.0|4.0|2.8|130.0|313.0|206.6|5.0|12.0|8.4|375.0|904.0|652.8|2.0|7.0|4.6|121.0|585.0|376.0|||||||8.0|12.0|10.2|591.0|950.0|799.5|5.0|13.0|7.8|382.0|987.0|605.5|2.0|10.0|6.8|158.0|754.0|512.8|||||||11.0|12.0|11.3|856.0|942.0|887.3|11.0|11.0|11.0|850.0|850.0|850.0
Romero, Impecable Est Y Bod, Barrio Yungay, Santiago, RM (Metropolitana)|4600|64|3|2|4.0|13.0|8.3|346.0|978.0|638.0|4.0|5.0|4.8|274.0|364.0|342.4|3.0|11.0|6.4|245.0|852.0|515.0|2.0|4.0|3.0|188.0|341.0|236.8|9.0|9.0|9.0|666.0|736.0|701.8|5.0|8.0|6.4|406.0|591.0|493.0|7.0|12.0|10.0|560.0|951.0|781.3|4.0|8.0|5.6|284.0|607.0|443.4|10.0|10.0|10.0|766.0|816.0|787.3|11.0|11.0|11.0|847.0|847.0|847.0||||||
Quito 1 - 300, Santiago, Chile, Barrio San Borja, Santiago, RM (Metropolitana)|3500|80|2|2|5.0|12.0|9.0|420.0|948.0|710.5|3.0|4.0|3.5|255.0|340.0|295.5|5.0|11.0|8.0|387.0|832.0|614.6|5.0|9.0|6.6|418.0|679.0|531.2|2.0|8.0|5.2|182.0|651.0|421.8|5.0|8.0|7.0|392.0|639.0|544.2|6.0|10.0|7.8|469.0|818.0|628.4|2.0|7.0|4.8|121.0|541.0|354.0|8.0|12.0|10.8|619.0|952.0|828.2|3.0|12.0|7.2|234.0|936.0|562.8|4.0|9.0|6.7|289.0|713.0|521.0
Departamento Venta 1 Dormitorio/ Amoblado En Santiago, Bulnes, Santiago, RM (Metropolitana)|1900|27|1|1|6.0|11.0|9.0|449.0|895.0|702.5|0.0|4.0|2.4|37.0|340.0|209.6|5.0|10.0|7.0|370.0|747.0|525.8|2.0|6.0|5.0|179.0|486.0|398.0|3.0|7.0|4.8|243.0|548.0|382.4|4.0|8.0|6.4|312.0|633.0|498.0|4.0|6.0|5.2|338.0|442.0|392.2|2.0|5.0|3.6|188.0|406.0|299.2|6.0|7.0|6.5|460.0|553.0|506.5|6.0|11.0|8.8|458.0|862.0|674.5||||||
Serrano Con Santa Isabel, San Diego, Santiago, RM (Metropolitana)|2557|45|2|2|5.0|5.0|5.0|357.0|357.0|357.0|2.0|4.0|3.6|157.0|289.0|261.0|4.0|10.0|7.0|286.0|778.0|546.0|5.0|10.0|8.2|392.0|752.0|638.4|7.0|13.0|10.0|536.0|993.0|782.0|2.0|8.0|4.8|176.0|655.0|383.4|6.0|10.0|8.4|486.0|768.0|657.4|3.0|5.0|3.8|221.0|416.0|296.4|11.0|11.0|11.0|872.0|872.0|872.0|4.0|10.0|8.0|291.0|762.0|600.3|13.0|13.0|13.0|990.0|990.0|990.0
Marín 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|3080|74|3|2|13.0|13.0|13.0|986.0|986.0|986.0|2.0|5.0|3.8|191.0|389.0|306.4|7.0|10.0|8.2|572.0|753.0|645.8|5.0|7.0|6.6|413.0|554.0|504.6|3.0|9.0|5.6|209.0|710.0|425.0|0.0|8.0|4.0|39.0|632.0|325.6|5.0|9.0|7.2|387.0|711.0|578.6|4.0|7.0|6.0|344.0|580.0|500.0|||||||3.0|10.0|7.5|262.0|810.0|602.5|5.0|11.0|8.2|409.0|842.0|636.8
Morandé, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3494|70|3|2|5.0|9.0|6.7|423.0|693.0|538.7|2.0|3.0|2.5|157.0|239.0|193.2|6.0|12.0|9.4|477.0|972.0|745.4|5.0|11.0|9.2|388.0|853.0|724.8|7.0|13.0|9.8|569.0|989.0|752.2|2.0|7.0|4.4|163.0|533.0|341.6|3.0|7.0|5.0|240.0|577.0|399.2|2.0|4.0|3.0|150.0|320.0|242.6|4.0|8.0|6.4|302.0|661.0|501.0|2.0|10.0|6.6|142.0|759.0|513.4||||||
Catedral / Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2400|34|1|1|6.0|12.0|9.0|499.0|945.0|711.8|2.0|3.0|2.6|119.0|248.0|194.0|5.0|9.0|7.0|396.0|735.0|558.8|4.0|10.0|6.6|286.0|778.0|510.8|5.0|13.0|10.5|422.0|977.0|819.0|3.0|5.0|3.8|220.0|379.0|278.6|4.0|8.0|6.6|295.0|658.0|511.8|2.0|3.0|2.4|152.0|208.0|178.8|5.0|10.0|8.6|384.0|779.0|661.0|7.0|11.0|8.6|525.0|893.0|681.0||||||
Catedral 1394, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3763|69|3|2|6.0|12.0|9.0|500.0|904.0|710.8|2.0|3.0|2.6|170.0|238.0|205.8|5.0|9.0|7.2|405.0|729.0|574.8|4.0|10.0|6.8|327.0|787.0|536.0|6.0|12.0|10.2|431.0|956.0|803.8|3.0|5.0|3.4|229.0|388.0|262.0|4.0|8.0|6.4|350.0|652.0|511.8|2.0|3.0|2.4|150.0|237.0|189.0|5.0|10.0|8.2|378.0|773.0|635.0|6.0|11.0|8.2|470.0|836.0|645.0||||||
Santo Domingo/ Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2400|37|1|1|6.0|8.0|7.3|451.0|598.0|548.0|0.0|3.0|1.7|23.0|199.0|138.7|6.0|11.0|9.2|448.0|877.0|712.6|5.0|10.0|8.6|416.0|814.0|684.8|8.0|13.0|9.6|597.0|978.0|747.8|5.0|6.0|5.7|390.0|475.0|434.0|3.0|8.0|5.6|268.0|650.0|450.8|2.0|4.0|3.0|178.0|348.0|242.4|4.0|9.0|6.6|330.0|689.0|529.2|2.0|10.0|6.8|170.0|787.0|541.4||||||
Moneda 2264, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)|4032|70|3|2|6.0|7.0|6.5|502.0|560.0|531.0|3.0|6.0|4.2|204.0|456.0|323.5|2.0|8.0|5.0|183.0|588.0|390.4|2.0|5.0|3.6|167.0|366.0|280.8|6.0|9.0|7.4|439.0|676.0|566.0|6.0|10.0|8.6|478.0|767.0|666.6|5.0|11.0|7.7|408.0|854.0|592.0|2.0|6.0|4.5|185.0|454.0|344.0||||||||||||||||||
Curicó / Diagonal Paraguay  2 Dor, Santa Isabel, Santiago, RM (Metropolitana)|3650|42|2|1|8.0|10.0|9.0|642.0|742.0|692.0|2.0|5.0|3.5|167.0|375.0|272.2|5.0|8.0|6.6|362.0|656.0|519.8|3.0|8.0|5.2|241.0|662.0|415.0|3.0|6.0|5.2|255.0|498.0|411.2|4.0|7.0|5.8|305.0|547.0|458.0|5.0|8.0|6.6|356.0|649.0|519.8|3.0|7.0|5.6|228.0|509.0|409.8|10.0|10.0|10.0|815.0|815.0|815.0|3.0|12.0|7.0|233.0|966.0|554.8|3.0|10.0|6.0|227.0|784.0|456.8
Angamos, Santa Isabel, Santiago, RM (Metropolitana)|2016|38|1|1|12.0|13.0|12.5|944.0|984.0|964.0|2.0|5.0|3.8|171.0|401.0|307.8|0.0|10.0|6.8|24.0|749.0|527.0|5.0|7.0|6.6|407.0|568.0|519.8|4.0|8.0|5.8|305.0|604.0|448.8|2.0|8.0|5.2|150.0|590.0|382.6|4.0|8.0|6.0|274.0|653.0|470.4|3.0|7.0|5.2|231.0|538.0|408.6|||||||3.0|10.0|7.6|264.0|806.0|602.2|5.0|9.0|7.7|381.0|729.0|605.0
Avenida Ricardo Cumming 1350, Santiago, Chile, Parque Los Reyes, Santiago, RM (Metropolitana)|1639|34|1|1|||||||2.0|4.0|3.0|136.0|322.0|234.3|3.0|11.0|7.0|200.0|836.0|532.4|5.0|10.0|8.8|359.0|819.0|688.2|||||||7.0|13.0|9.8|563.0|990.0|756.0|10.0|10.0|10.0|762.0|762.0|762.0|8.0|11.0|9.3|636.0|860.0|723.3||||||||||||||||||
Padre Alonso De Ovalle 884, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)|2790|35|1|1|6.0|11.0|9.0|431.0|837.0|677.8|2.0|5.0|3.6|186.0|412.0|291.6|5.0|7.0|5.5|370.0|550.0|431.8|2.0|9.0|5.4|133.0|676.0|399.8|5.0|12.0|10.2|398.0|962.0|801.8|2.0|7.0|5.4|164.0|566.0|433.0|3.0|7.0|5.2|234.0|575.0|409.6|2.0|3.0|2.3|170.0|230.0|196.3|3.0|9.0|6.6|273.0|704.0|539.8|6.0|10.0|8.2|501.0|758.0|663.0|7.0|7.0|7.0|551.0|551.0|551.0
San Martin 1490, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2700|40|1|1|7.0|11.0|9.0|568.0|857.0|712.5|2.0|6.0|4.4|161.0|444.0|330.2|6.0|10.0|8.0|471.0|777.0|624.0|7.0|11.0|9.4|523.0|861.0|727.6|9.0|13.0|11.0|704.0|987.0|845.5|2.0|9.0|5.6|131.0|734.0|434.8|9.0|12.0|11.2|725.0|959.0|885.0|9.0|11.0|9.8|679.0|879.0|758.0|||||||12.0|13.0|12.5|963.0|979.0|971.0||||||
Av. Portugal 810, Santiago, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)|2990|62|2|2|10.0|12.0|11.0|804.0|971.0|887.5|0.0|2.0|1.5|38.0|186.0|138.2|8.0|8.0|8.0|593.0|593.0|593.0|6.0|7.0|6.6|465.0|584.0|535.0|10.0|10.0|10.0|791.0|791.0|791.0|8.0|11.0|9.8|636.0|894.0|774.6|4.0|13.0|7.6|282.0|983.0|602.6|4.0|7.0|5.8|318.0|572.0|449.4|||||||7.0|13.0|10.5|547.0|983.0|814.2||||||
Manuel Antonio Tocornal, Santa Isabel, Santiago, RM (Metropolitana)|3050|53|2|2|||||||3.0|5.0|3.8|241.0|373.0|305.0|4.0|12.0|7.8|278.0|915.0|608.2|4.0|9.0|5.8|294.0|689.0|458.4|5.0|13.0|8.0|384.0|983.0|617.2|3.0|7.0|5.4|244.0|576.0|443.8|7.0|12.0|8.8|537.0|923.0|683.6|7.0|11.0|9.0|566.0|880.0|699.8|||||||7.0|13.0|11.0|550.0|998.0|846.0|10.0|11.0|10.5|766.0|822.0|794.0
Angamos, Santa Isabel, Santiago, RM (Metropolitana)|2016|38|1|1|12.0|13.0|12.5|944.0|984.0|964.0|2.0|5.0|3.8|171.0|401.0|307.8|0.0|10.0|6.8|24.0|749.0|527.0|5.0|7.0|6.6|407.0|568.0|519.8|4.0|8.0|5.8|305.0|604.0|448.8|2.0|8.0|5.2|150.0|590.0|382.6|4.0|8.0|6.0|274.0|653.0|470.4|3.0|7.0|5.2|231.0|538.0|408.6|||||||3.0|10.0|7.6|264.0|806.0|602.2|5.0|9.0|7.7|381.0|729.0|605.0
Metro Santa Isabel, Est, Vista Oriente!, Santa Isabel, Santiago, RM (Metropolitana)|2800|32|1|1|3.0|12.0|8.3|269.0|923.0|652.7|3.0|5.0|4.2|243.0|376.0|317.5|6.0|11.0|8.0|477.0|849.0|620.4|2.0|3.0|2.5|139.0|228.0|183.5|8.0|13.0|11.6|607.0|987.0|884.4|4.0|8.0|5.6|281.0|608.0|435.6|5.0|10.0|6.6|427.0|796.0|513.0|4.0|5.0|4.8|334.0|390.0|364.8|||||||7.0|8.0|7.5|527.0|657.0|592.0|8.0|12.0|10.0|588.0|970.0|779.0
Merced 562, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3220|40|1|1|3.0|10.0|7.2|230.0|772.0|566.8|0.0|3.0|1.7|28.0|260.0|147.3|8.0|12.0|10.8|595.0|917.0|826.5|4.0|13.0|9.2|345.0|983.0|729.6|3.0|10.0|7.0|233.0|811.0|553.0|7.0|10.0|7.6|512.0|751.0|573.8|0.0|9.0|4.8|29.0|716.0|372.6|0.0|5.0|2.3|22.0|356.0|181.3|7.0|9.0|7.6|511.0|677.0|584.6|5.0|11.0|8.6|359.0|878.0|664.4|12.0|12.0|12.0|918.0|918.0|918.0
Lord Cochrane 200 - 400, Parque Almagro, Santiago, RM (Metropolitana)|2850|49|2|2|5.0|10.0|7.7|423.0|812.0|632.0|3.0|4.0|3.2|204.0|287.0|253.2|5.0|8.0|6.6|407.0|628.0|514.6|4.0|6.0|5.6|333.0|500.0|444.0|0.0|6.0|4.0|34.0|507.0|326.5|4.0|8.0|6.4|285.0|649.0|504.2|5.0|8.0|6.6|373.0|629.0|524.0|5.0|7.0|5.6|383.0|535.0|441.8|9.0|10.0|9.5|687.0|756.0|721.5|4.0|11.0|7.6|295.0|886.0|612.6||||||
San Ignacio 1481, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)|1390|22|1|1|8.0|10.0|9.0|611.0|810.0|710.5|2.0|5.0|3.5|193.0|381.0|270.5|4.0|13.0|9.4|313.0|981.0|726.8|3.0|8.0|6.5|229.0|633.0|501.0|12.0|12.0|12.0|974.0|974.0|974.0|9.0|12.0|10.3|718.0|899.0|794.3|9.0|9.0|9.0|709.0|709.0|709.0|8.0|9.0|8.5|604.0|703.0|653.5||||||||||||||||||
Av. Manuel Rodríguez 881, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2100|30|1|1|8.0|9.0|8.5|588.0|677.0|632.5|2.0|4.0|3.2|183.0|317.0|258.0|5.0|11.0|9.0|400.0|867.0|709.4|3.0|9.0|6.0|243.0|704.0|482.2|5.0|9.0|7.0|424.0|718.0|571.0|3.0|6.0|5.0|267.0|465.0|392.0|10.0|12.0|11.6|746.0|966.0|912.2|8.0|10.0|9.2|623.0|816.0|722.6|||||||13.0|13.0|13.0|985.0|985.0|985.0||||||
Vergara 699, Santiago, Chile, Ejército - Toesca, Santiago, RM (Metropolitana)|3226|52|2|2|7.0|11.0|9.0|526.0|853.0|689.5|0.0|3.0|2.0|19.0|254.0|159.2|3.0|6.0|4.4|224.0|466.0|341.2|2.0|11.0|6.8|168.0|833.0|531.2|3.0|6.0|4.8|269.0|442.0|372.6|4.0|8.0|5.6|349.0|598.0|428.0|4.0|11.0|8.8|304.0|864.0|678.8|4.0|12.0|7.4|304.0|918.0|569.4|||||||8.0|9.0|8.5|660.0|714.0|687.0||||||
Catedral 1200 - 1500, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|1400|19|1|1|5.0|12.0|9.2|387.0|969.0|733.0|2.0|3.0|2.4|152.0|265.0|198.8|7.0|9.0|8.4|513.0|718.0|640.4|3.0|11.0|7.8|247.0|895.0|617.0|7.0|12.0|10.0|544.0|954.0|780.0|2.0|4.0|3.2|153.0|342.0|263.4|3.0|8.0|6.0|261.0|594.0|463.4|0.0|3.0|2.0|37.0|246.0|167.6|3.0|8.0|6.6|266.0|661.0|523.0|5.0|9.0|7.0|358.0|723.0|533.8||||||
Lord Cochrane 1200 - 1500, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)|1280|35|1|1|11.0|12.0|11.5|868.0|950.0|909.0|4.0|5.0|4.5|298.0|401.0|354.8|3.0|11.0|7.6|220.0|887.0|587.0|2.0|8.0|5.2|192.0|650.0|426.4|||||||10.0|12.0|10.7|774.0|957.0|835.7|5.0|11.0|8.0|384.0|840.0|612.0|9.0|12.0|10.8|691.0|944.0|832.2||||||||||||||||||
Bellas Artes, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2670|49|1|1|5.0|10.0|7.8|419.0|805.0|620.2|2.0|3.0|2.6|132.0|239.0|203.4|9.0|12.0|10.2|727.0|924.0|796.8|4.0|12.0|8.8|295.0|956.0|685.4|0.0|10.0|7.4|20.0|788.0|585.2|5.0|11.0|7.8|426.0|871.0|624.2|4.0|9.0|6.0|282.0|687.0|468.2|2.0|4.0|3.6|166.0|330.0|274.8|5.0|8.0|6.8|393.0|642.0|527.0|6.0|11.0|9.0|491.0|879.0|701.6|11.0|11.0|11.0|893.0|893.0|893.0
Metro Irarrazaval Est Vista Despejada, Barrio Diez de Julio, Santiago, RM (Metropolitana)|2599|52|2|2|5.0|11.0|8.0|411.0|858.0|634.5|2.0|3.0|2.8|125.0|253.0|211.8|10.0|12.0|11.0|786.0|942.0|864.0|2.0|6.0|3.4|146.0|487.0|268.2|||||||5.0|9.0|6.2|418.0|678.0|488.0|7.0|10.0|8.2|511.0|777.0|643.0|3.0|5.0|3.4|212.0|377.0|270.0|||||||9.0|9.0|9.0|667.0|667.0|667.0||||||
San Francisco 294, Bulnes, Santiago, RM (Metropolitana)|1630|27|1|1|8.0|11.0|10.0|643.0|897.0|809.7|3.0|4.0|3.2|213.0|311.0|257.5|4.0|7.0|5.8|287.0|577.0|458.2|5.0|8.0|7.2|387.0|658.0|559.0|6.0|11.0|9.2|446.0|874.0|721.6|4.0|7.0|6.0|334.0|545.0|471.4|6.0|7.0|6.6|446.0|575.0|514.8|4.0|5.0|4.8|348.0|428.0|380.8|9.0|12.0|10.7|673.0|901.0|818.3|7.0|13.0|10.8|581.0|986.0|850.4|6.0|12.0|9.0|443.0|938.0|690.5
Eleuterio Ramirez Con San Francisco, Bulnes, Santiago, RM (Metropolitana)|2300|35|1|1|8.0|11.0|10.0|632.0|872.0|783.7|0.0|4.0|2.6|22.0|349.0|216.2|4.0|7.0|5.8|276.0|557.0|439.2|6.0|8.0|7.2|436.0|661.0|567.0|6.0|11.0|9.4|496.0|863.0|735.4|5.0|7.0|5.8|384.0|584.0|474.4|5.0|7.0|6.4|396.0|564.0|500.2|4.0|5.0|4.6|304.0|411.0|360.0|8.0|13.0|10.8|657.0|991.0|841.0|7.0|12.0|10.0|571.0|900.0|792.8|6.0|13.0|9.5|488.0|981.0|734.5
Fray Camilo Henríquez 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|1550|32|1|1|6.0|11.0|8.5|435.0|838.0|636.5|2.0|4.0|2.8|164.0|349.0|236.2|5.0|10.0|7.2|388.0|793.0|571.4|3.0|5.0|4.6|226.0|401.0|351.2|4.0|10.0|8.0|294.0|786.0|614.8|6.0|7.0|6.2|448.0|579.0|495.8|3.0|8.0|5.2|240.0|629.0|405.6|2.0|5.0|3.5|144.0|423.0|286.0|||||||4.0|11.0|7.7|344.0|888.0|610.0|8.0|12.0|9.3|648.0|914.0|739.7
Maturana 1 - 300, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)|3660|75|3|2|8.0|8.0|8.0|611.0|619.0|615.0|2.0|6.0|4.2|176.0|495.0|335.6|4.0|9.0|6.0|289.0|691.0|473.2|3.0|4.0|3.8|230.0|330.0|289.2|5.0|8.0|6.8|366.0|620.0|531.8|4.0|8.0|6.4|346.0|645.0|519.2|4.0|9.0|6.7|333.0|721.0|540.3|3.0|7.0|4.2|223.0|507.0|318.2||||||||||||||||||
|2166|0|0|0|4.0|11.0|7.5|292.0|840.0|569.8|0.0|2.0|1.3|35.0|192.0|123.7|7.0|11.0|10.0|527.0|856.0|766.0|4.0|12.0|8.8|295.0|933.0|675.0|2.0|11.0|6.6|183.0|875.0|514.4|6.0|9.0|7.4|497.0|683.0|590.4|4.0|9.0|5.2|290.0|736.0|412.2|0.0|4.0|2.0|37.0|342.0|189.5|6.0|8.0|6.8|442.0|612.0|519.0|4.0|12.0|8.4|291.0|935.0|651.2|13.0|13.0|13.0|982.0|982.0|982.0
Carmen / Santa Isabel, Santa Isabel, Santiago, RM (Metropolitana)|1962|49|2|1|||||||2.0|5.0|3.4|159.0|369.0|262.0|4.0|11.0|7.8|326.0|833.0|590.0|5.0|7.0|5.8|369.0|571.0|456.2|6.0|11.0|8.0|433.0|866.0|629.2|4.0|6.0|5.2|322.0|498.0|407.0|8.0|13.0|9.4|612.0|992.0|729.2|8.0|10.0|9.0|641.0|778.0|710.8|||||||9.0|12.0|10.5|664.0|932.0|798.0|9.0|12.0|10.5|700.0|940.0|820.0
Avenida Santa Rosa 1 - 300, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)|2470|65|3|2|5.0|11.0|8.8|383.0|868.0|684.8|2.0|3.0|2.2|127.0|222.0|169.4|2.0|4.0|3.0|125.0|321.0|218.0|2.0|4.0|3.4|187.0|323.0|262.0|5.0|9.0|6.4|353.0|739.0|510.6|4.0|6.0|4.8|284.0|506.0|381.0|3.0|7.0|6.0|216.0|574.0|469.8|2.0|4.0|2.8|131.0|321.0|223.2|7.0|12.0|9.8|543.0|931.0|762.6|2.0|10.0|6.2|154.0|758.0|467.8|8.0|9.0|8.5|609.0|677.0|643.0
San Diego, Parque O'Higgins, Santiago, RM (Metropolitana)|2300|40|2|1|||||||3.0|5.0|3.8|208.0|413.0|298.5|4.0|8.0|6.2|319.0|638.0|477.8|3.0|7.0|5.0|259.0|565.0|388.0|||||||6.0|6.0|6.0|472.0|472.0|472.0|4.0|12.0|8.5|325.0|934.0|664.2|5.0|11.0|9.0|394.0|873.0|710.6|||||||11.0|11.0|11.0|842.0|842.0|842.0|12.0|12.0|12.0|922.0|922.0|922.0
