direccion|precio_uf|metros_cuadrados|dormitorios|banios|estaciones_de_metro_tmin|estaciones_de_metro_tmax|estaciones_de_metro_tavg|estaciones_de_metro_dmin|estaciones_de_metro_dmax|estaciones_de_metro_davg|paraderos_tmin|paraderos_tmax|paraderos_tavg|paraderos_dmin|paraderos_dmax|paraderos_davg|jardines_infantiles_tmin|jardines_infantiles_tmax|jardines_infantiles_tavg|jardines_infantiles_dmin|jardines_infantiles_dmax|jardines_infantiles_davg|colegios_tmin|colegios_tmax|colegios_tavg|colegios_dmin|colegios_dmax|colegios_davg|universidades_tmin|universidades_tmax|universidades_tavg|universidades_dmin|universidades_dmax|universidades_davg|plazas_tmin|plazas_tmax|plazas_tavg|plazas_dmin|plazas_dmax|plazas_davg|supermercados_tmin|supermercados_tmax|supermercados_tavg|supermercados_dmin|supermercados_dmax|supermercados_davg|farmacias_tmin|farmacias_tmax|farmacias_tavg|farmacias_dmin|farmacias_dmax|farmacias_davg|centros_comerciales_tmin|centros_comerciales_tmax|centros_comerciales_tavg|centros_comerciales_dmin|centros_comerciales_dmax|centros_comerciales_davg|clinicas_tmin|clinicas_tmax|clinicas_tavg|clinicas_dmin|clinicas_dmax|clinicas_davg|hospitales_tmin|hospitales_tmax|hospitales_tavg|hospitales_dmin|hospitales_dmax|hospitales_davg
Monjitas Con Enrique Mac Iver, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3100|52|2|2|4.0|11.0|8.0|330.0|894.0|647.0|2.0|2.0|2.0|153.0|190.0|171.5|4.0|12.0|8.7|308.0|901.0|672.3|4.0|11.0|8.5|328.0|894.0|673.0|3.0|6.0|4.0|231.0|473.0|308.2|8.0|11.0|9.2|643.0|851.0|716.8|0.0|6.0|3.8|0.0|488.0|293.5|2.0|3.0|2.3|139.0|203.0|165.3|3.0|7.0|5.0|247.0|518.0|396.0|2.0|10.0|6.8|168.0|781.0|529.2||||||
Avenida Rondizzoni, 1856, Parque O'Higgins, Santiago, RM (Metropolitana)|2365|68|2|2|4.0|4.0|4.0|319.0|319.0|319.0|3.0|3.0|3.0|207.0|207.0|207.0|12.0|13.0|12.5|940.0|991.0|965.5|3.0|11.0|7.4|251.0|884.0|588.2|8.0|8.0|8.0|601.0|601.0|601.0|8.0|11.0|9.0|627.0|877.0|713.7|||||||3.0|3.0|3.0|255.0|255.0|255.0||||||||||||||||||
Metro Rondizzoni / Ñuble, Franklin - Biobío, Santiago, RM (Metropolitana)|1350|20|1|1|9.0|12.0|10.4|735.0|902.0|829.4|3.0|3.0|3.0|253.0|268.0|260.5|3.0|9.0|5.4|271.0|721.0|419.4|3.0|6.0|4.8|262.0|457.0|368.2|||||||7.0|11.0|9.4|560.0|826.0|726.4|5.0|11.0|8.7|354.0|871.0|670.0|3.0|6.0|4.0|217.0|450.0|312.4|6.0|9.0|7.5|499.0|738.0|618.5|||||||13.0|13.0|13.0|991.0|991.0|991.0
Eyzaguirre, Parque O'Higgins, Santiago, RM (Metropolitana)|1750|29|1|1|8.0|13.0|10.5|618.0|986.0|802.0|2.0|4.0|3.4|194.0|330.0|258.2|3.0|10.0|7.6|206.0|798.0|601.8|4.0|9.0|5.6|329.0|727.0|453.2|13.0|13.0|13.0|990.0|990.0|990.0|7.0|12.0|9.4|526.0|905.0|724.4|4.0|11.0|8.2|344.0|847.0|648.0|4.0|11.0|7.4|293.0|826.0|559.4|||||||8.0|8.0|8.0|653.0|653.0|653.0||||||
Metro Santa Lucia, Santa Isabel, Santiago, RM (Metropolitana)|2600|34|1|1|3.0|13.0|8.6|208.0|980.0|652.8|||||||3.0|7.0|4.8|211.0|559.0|371.0|4.0|7.0|5.8|299.0|579.0|440.2|6.0|10.0|7.6|480.0|796.0|604.8|3.0|9.0|6.0|220.0|682.0|468.6|4.0|9.0|6.8|347.0|700.0|548.4|0.0|3.0|2.0|10.0|243.0|159.5|3.0|9.0|6.8|239.0|685.0|534.4|4.0|10.0|7.4|284.0|783.0|561.2|7.0|11.0|8.7|522.0|859.0|656.0
Argomedo 40, 8330318 Santiago, Región Metropolitana, Chile, Santa Isabel, Santiago, RM (Metropolitana)|3000|45|2|1|6.0|12.0|9.7|456.0|963.0|746.0|2.0|5.0|3.8|172.0|419.0|302.0|7.0|12.0|9.4|517.0|948.0|720.0|2.0|4.0|3.2|131.0|310.0|232.8|9.0|9.0|9.0|704.0|704.0|704.0|5.0|9.0|7.0|398.0|697.0|551.4|3.0|11.0|6.0|240.0|894.0|491.8|4.0|5.0|4.6|281.0|409.0|345.6|||||||9.0|9.0|9.0|723.0|728.0|725.5|10.0|10.0|10.0|785.0|785.0|785.0
Departamento En Arriendo 1 Dormitorio Y 1 Baño. Arturo Prat 655. Metro Parque Almagro. Comuna De Santiago., San Diego, Santiago, RM (Metropolitana)|2900|31|1|1|5.0|5.0|5.0|387.0|387.0|387.0|3.0|4.0|3.6|256.0|305.0|281.2|4.0|10.0|7.0|327.0|803.0|552.6|7.0|9.0|8.2|509.0|677.0|614.2|7.0|11.0|9.3|565.0|839.0|741.0|3.0|9.0|6.0|206.0|669.0|457.8|6.0|10.0|8.2|489.0|797.0|632.4|4.0|5.0|4.6|295.0|400.0|346.4|12.0|12.0|12.0|901.0|901.0|901.0|4.0|10.0|7.3|320.0|778.0|578.3||||||
Se Vende Dp 2d+1b Con Opción A Estacionamiento, Santiago, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2690|43|2|1|4.0|13.0|9.3|320.0|987.0|730.3|2.0|2.0|2.0|161.0|174.0|167.5|3.0|8.0|6.6|205.0|659.0|515.6|4.0|7.0|5.2|274.0|518.0|387.4|6.0|6.0|6.0|450.0|452.0|451.0|3.0|6.0|4.8|197.0|482.0|358.2|8.0|11.0|9.2|651.0|839.0|728.6|4.0|8.0|6.0|320.0|639.0|473.2|10.0|11.0|10.5|809.0|867.0|838.0|9.0|12.0|10.5|707.0|961.0|834.0||||||
Manuel Antonio Tocornal 455, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|2100|37|1|1|||||||3.0|6.0|4.4|215.0|498.0|348.0|5.0|10.0|7.4|382.0|791.0|565.0|6.0|7.0|6.6|478.0|578.0|528.2|3.0|11.0|5.8|200.0|828.0|441.0|3.0|5.0|4.2|218.0|392.0|330.2|6.0|11.0|8.8|498.0|874.0|701.6|7.0|10.0|8.8|579.0|801.0|694.6|||||||5.0|10.0|8.3|366.0|814.0|662.0|7.0|12.0|9.0|582.0|935.0|718.7
Santa Lucía/ Merced, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|4850|85|3|2|2.0|10.0|7.8|118.0|751.0|575.0|2.0|3.0|2.8|140.0|263.0|220.0|9.0|12.0|10.5|707.0|934.0|820.5|5.0|7.0|6.0|366.0|528.0|447.0|4.0|9.0|7.2|346.0|724.0|574.0|6.0|10.0|7.2|431.0|799.0|571.6|5.0|8.0|6.2|403.0|606.0|481.5|3.0|4.0|3.3|199.0|326.0|258.7|8.0|9.0|8.6|623.0|724.0|667.4|6.0|11.0|8.8|471.0|848.0|678.0|11.0|11.0|11.0|888.0|888.0|888.0
