direccion|precio_uf|metros_cuadrados|dormitorios|banios|latitude|longitude|url
Avenida Santa Isabel 360, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|3000|54|2|2|-33.4490188|-70.6373848|https://www.portalinmobiliario.com/MLC-1478281811-comodo-depto-comuna-santiago-estacion-metro-santa-isabel-_JM#position=21&search_layout=grid&type=item&tracking_id=ae078f09-9f02-426a-a7a3-c76c48996a6a
San Diego, Santiago, RM (Metropolitana)|3793|46|2|2|-33.4503|-70.6502|https://www.portalinmobiliario.com/MLC-1464266635-departamento-nuevo-descuento-irrepetible-_JM#position=30&search_layout=grid&type=item&tracking_id=31dba42f-d1f5-4994-b25d-c82b3973d5dd
Bulnes, Santiago, RM (Metropolitana)|3897|86|2|2|-33.449495|-70.651795|https://www.portalinmobiliario.com/MLC-2326965260-2-departamentos-en-venta-al-precio-de-1-santiago-_JM#position=44&search_layout=grid&type=item&tracking_id=98d86d59-1cf9-435d-bf9f-4b9f369b3137
Chacabuco 1355, Parque Los Reyes, Santiago, RM (Metropolitana)|3623|39|2|2|-33.429607|-70.679619|https://www.portalinmobiliario.com/MLC-1472831689-edificio-chacabuco-1-est-vista-surponiente-piso-3-_JM#position=2&search_layout=grid&type=item&tracking_id=101a90e7-e1a4-4b22-a237-fd30b843ae5b
San Diego, Parque O'Higgins, Santiago, RM (Metropolitana)|1478|35|2|1|-33.4652784|-70.6490192|https://www.portalinmobiliario.com/MLC-2221722898-departamento-san-diego-id-119068-_JM#position=9&search_layout=grid&type=item&tracking_id=c387fd51-ec6e-4a4e-9857-2b3350d793a3
Portugal / Coquimbo, Barrio Diez de Julio, Santiago, RM (Metropolitana)|2100|40|1|1|-33.4545741|-70.6339027|https://www.portalinmobiliario.com/MLC-1470399245-oferta-departamento-en-venta-en-santiago-_JM#position=21&search_layout=grid&type=item&tracking_id=f04286ff-65e1-4cdb-bcf5-23b1c42ef423
Carmen / Sta. Isabel, Santa Isabel, Santiago, RM (Metropolitana)|3400|62|2|2|-33.4506883|-70.641523|https://www.portalinmobiliario.com/MLC-1470639327-departamento-en-venta-de-2-dorm-en-santiago-_JM#position=10&search_layout=grid&type=item&tracking_id=5f3427cd-b8da-4a35-aa22-08f3211398f4
Hermoso  Departamento Conectado, San Diego, Santiago, RM (Metropolitana)|2661|76|3|2|-33.4532677|-70.6500291|https://www.portalinmobiliario.com/MLC-1475474643-hermoso-departamento-conectado-8635-_JM#position=29&search_layout=grid&type=item&tracking_id=19c2411a-352c-4da1-8518-8ed69b0a4822
General Gana 1063 Departamento, Franklin - Biobío, Santiago, RM (Metropolitana)|2250|35|1|1|-33.4708385|-70.648097|https://www.portalinmobiliario.com/MLC-2117673928-departamento-general-gana-1063-departamento-id-91383-_JM#position=4&search_layout=grid&type=item&tracking_id=14e0d470-229c-4585-a472-1cb8dec6b125
Precioso Depto Manuel Rodríguez Norte 83 Santiago, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2715|43|2|1|-33.443173|-70.6599176|https://www.portalinmobiliario.com/MLC-2303320570-precioso-depto-manuel-rodriguez-norte-83-santiago-_JM#position=29&search_layout=grid&type=item&tracking_id=bd9e874a-566e-485f-93cd-a1c587410e63
